repo_completo,numero_pr,titulo,autora,status,url,criado_em,merged_em,closed_em,changed_files,additions,deletions,loc_total,tempo_analise_horas,tempo_analise_dias,descricao_tamanho_chars,total_comentarios,numero_reviews,num_participantes
codecrafters-io/build-your-own-x,1521,Add: FurrDB key-value Database written in go,itsfuad,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/1521,2025-07-31T15:43:36Z,,2026-04-04T15:59:18Z,1,1,0,1,5928.2617,247.0109,79,0,1,2
codecrafters-io/build-your-own-x,1682,Add tutorial: Build your own AI agent credential vault,nKOxxx,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/1682,2026-03-04T16:35:13Z,,2026-03-24T20:58:25Z,1,1,0,1,484.3867,20.1828,423,1,1,3
codecrafters-io/build-your-own-x,1681,Add comprehensive tools collection with web spider and system managem…,badhope,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/1681,2026-03-04T08:15:06Z,,2026-03-12T15:09:43Z,8,446,0,446,198.9103,8.2879,11,1,1,2
codecrafters-io/build-your-own-x,1398,"""Java voxel game"" video unavalible  anymore",NikoPit,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/1398,2025-03-29T11:34:57Z,2026-02-21T09:34:54Z,2026-02-21T09:34:54Z,1,0,1,1,7893.9992,328.9166,392,2,1,3
codecrafters-io/build-your-own-x,798,"Add tutorial ""Writing a container in Rust""",litchipi,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/798,2022-08-23T09:56:01Z,,2026-03-03T10:07:40Z,1,1,0,1,30912.1942,1288.0081,72,6,1,3
codecrafters-io/build-your-own-x,1538,"Fix link to ""F#: Building Neural Networks in F#"", add both parts",Velnbur,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/1538,2025-08-18T15:10:50Z,2026-02-21T09:34:46Z,2026-02-21T09:34:46Z,1,2,1,3,4482.3989,186.7666,12,1,1,3
codecrafters-io/build-your-own-x,1385,Added Build Your Own Kafka,buildthingsuseful,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/1385,2025-03-13T06:09:46Z,2026-02-21T09:34:16Z,2026-02-21T09:34:16Z,1,3,0,3,8283.4083,345.142,564,2,1,2
codecrafters-io/build-your-own-x,1393,Update README. to add sync engine blog post,cristiano-belloni,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/1393,2025-03-22T17:47:39Z,2026-02-21T09:34:12Z,2026-02-21T09:34:12Z,1,1,0,1,8055.7758,335.6573,436,2,2,2
codecrafters-io/build-your-own-x,1425,Adding section for memory allocators and adding a first tutorial for it,AlejandroFNadal,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/1425,2025-04-26T14:27:02Z,2026-02-21T09:34:08Z,2026-02-21T09:34:08Z,1,5,0,5,7219.1183,300.7966,1690,9,1,3
codecrafters-io/build-your-own-x,1504,Add section: Build your own AI Model,rasbt,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/1504,2025-07-05T23:14:09Z,2026-02-21T09:34:01Z,2026-02-21T09:34:01Z,1,6,0,6,5530.3311,230.4305,68,2,1,2
